Instname,Instcode
Albany Technical College,albt
Athens Clarke County Library,ath1
Athens Reg Public Library,ath1
Atlanta Fulton Public Library,afpl
Atlanta History Center Library,ahc1
Atlanta Technical College,atlt
Auburn Avenue Research Library,afpl
Augusta-Richmond County Public Library,ecg1
Augusta Technical College,aut1
Bartow County Library System,car1
Bartow County Library System,car1
Bartram Trail Regional Library,btr1
Berrien County - Carrie Dorsey Perry Memorial Library,cpr1
Brandon Hall School,psbh
Brooks County Public Library,bcl1
Catoosa County Library System,bcat
Central Georgia Technical College,mac2
Chattahoochee Library System,cht1
Chattahoochee Technical College,cht2
Chattooga County Library System,cha1
Cherokee Regional Library,crl1
Chestatee Regional Library System,che1
Clayton County Library System,ccl1
Coastal Pines Technical College,alta
Coastal Pines Technical College - Waycross Campus,alta
Coastal Plain Regional Library - Headquarters Library,cpr1
Cobb County Public Library,cob1
Columbus Technical College,cot1
Conyers-Rockdale Library System,con1
Cook County Library,cpr1
Cordele-Crisp County Public Library,lak1
Coweta Public Library System,cwl1
Dawson County Public Library,che1
Dekalb County Public Library,dep1
Desoto Trail Regional Library System,dtr1
Doe Central Office,kdoe
Dougherty County Public Library,dou1
Douglas County Public Library,wgr1
E-Army Univ Galileo,
Eatonton Putnam County Public Library,unc1
Echols County School,mech
Elbert County Library,ecl1
First District Regional Educational Service Agency (RESA),tfir
Fitzgerald-Ben Hill County Library,fit1
Flint River Regional Library System,frr1
Forsyth County Public Library,frl1
Full Text Finder Ga Demo Site,
Galileo Administration,dem4
GALILEO Administration,dem4
GALILEO Georgia Public Libraries,gpls
George Walton Academy,psgw
Georgia Central University,gcu1
Georgia Northwestern Technical College-Calhoun,gnt1
Georgia Northwestern Technical College,gnt1
Georgia Perimeter College,dek1
Georgia Piedmont Technical College,dekt
Georgia Professional Standards Commission,gpsc
Georgia Public Library Service,pub1
Georgia Public Library Services,pub1
Georgia Virtual School,sgvh
Gilbert H Gragg Library,sou1
GPLS Proxy Server Filtering Bypass,pub1
Gracepoint School,psgs
Greater Clarks Hill Regional Library System,gchr
Greene County Library,unc1
Gwinnett County Public Library,grl1
Gwinnett Technical College,gwt1
Hall County Library System,hal1
Hancock County Public Library,unc1
Hart County Public Library,hrl1
Hart County Schools,shab
Henry County Library System,hcl1
Houston County Public Library,nol1
Irwin County Library,cpr1
Jasper City Public Library,unc1
Jefferson County Library,lpl1
Kinchafoonee Regional Library,krl1
LaGrange Campus - West Georgia Technical College,wgt1
Lake Blackshear Regional Library,lak1
Lanier Technical College,lant
LearningExpress - Athens Technical College,ath2
Lee County Library,lee1
Live Oak Public Library,cel1
Lucy Maddox Mem Library,dtr1
Marietta City Schools,smar
Marshes of Glynn Libraries,mgl1
Middle Georgia Regional Library,mgr1
Monroe-Walton Cty Public Library,unc1
Morgan Cty Public Library,unc1
Moultrie-Colquitt County Library System,mcc1
Mountain Regional Library System,mrl1
Newton County Library System,ncl1
Northeast Georgia Regional Library,nega
North Georgia Technical College,ngt1
Northwest Georgia Regional Library System - Calhoun,drl1
Ocmulgee Regional Library System,ocm1
Oconee Fall Line Technical College,oftc
Oconee Regional Library System,oco1
Ogeechee Technical College,ogt1
Ohoopee Regional Library System,oho1
OIIT in Athens,oit1
Okefenokee Regional Library System,orl1
O'Kelly Memorial Library Public Library,unc1
Peach Public Libraries,pea1
Piedmont Regional Library,prh1
Pine Mountain Regional Library System,pmr1
Public Library Demonstration Site,pblb
Public Library Test Site,tpbl
Public Library Test Site,tpbl
Roddenbery Memorial Library,rod1
Sara Hightower Regional Library System,sar1
Satilla Regional Library,sat1
Savannah Technical College,sav2
Screven-Jenkins Regional Library,scr1
Sequoyah Regional Library,seq1
Smyrna Public Library,smyr
Southeastern Technical College-Vidalia,soet
Southern Crescent Technical College,scre
Southern Regional Technical College,thot
South Georgia Regional Library System,sgr1
South Georgia Technical College,sgt1
Southwest Georgia Regional Library System,sou1
Southwest Georgia Technical College,thot
Stanton Memorial Public Library,unc1
Statesboro Regional Library System,bor1
Technical College Demonstration Site,demt
Technical College System of Georgia Central Office,dta1
Technical College System of Georgia Central Office,dta1
Technical College Test Site,tech
Thomas County Library,tcp1
Three Rivers Regional Library System,bgr1
Troup-Harris Regional Library,thc1
Troup-Harris Regional Library,cpr1
Turner County - Victoria Evans Memorial Library,cpr1
Twin Lakes Library System,lake
Uncle Remus Regional Library,unc1
University System Demo Site,dem1
Washington County Public Library,oco1
Wayne County Public Library,bgr1
West Georgia Regional Library,wgr1
West Georgia Technical College,wgt1
Wiregrass Georgia Technical College,wrgt
Worth County Library System,wor1
Yeshiva Ohr Yisrael Of Atlanta,psyy
